time,gFx,gFy,gFz,ax,ay,az,wx,wy,wz,P
2.513,0.28,1.14,-0.05,1.29,0.58,0.19,0.12,0.18,-2.71,973.60
2.517,0.28,1.14,-0.05,1.29,0.58,0.19,0.13,0.29,-3.17,973.60
2.519,0.28,1.14,-0.05,2.13,1.43,-0.05,0.13,0.29,-3.17,973.60
2.562,0.25,1.13,-0.03,2.13,1.43,-0.05,0.13,0.29,-3.17,973.60
2.566,0.25,1.13,-0.03,2.13,1.43,-0.05,0.18,0.93,-3.09,973.60
2.57,0.25,1.13,-0.03,2.13,1.43,-0.05,0.18,0.93,-3.09,973.59
2.572,0.25,1.13,-0.03,4.12,1.44,0.13,0.18,0.93,-3.09,973.59
2.681,0.29,1.16,0.05,4.12,1.44,0.13,0.18,0.93,-3.09,973.59
2.686,0.29,1.16,0.05,4.12,1.44,0.13,0.30,1.02,-2.79,973.59
2.688,0.29,1.16,0.05,5.06,1.80,0.97,0.30,1.02,-2.79,973.59
2.69,0.29,0.98,-0.02,5.06,1.80,0.97,0.30,1.02,-2.79,973.59
2.692,0.29,0.98,-0.02,5.06,1.80,0.97,0.31,-0.15,-1.92,973.59
2.694,0.29,0.98,-0.02,5.39,0.20,0.40,0.31,-0.15,-1.92,973.59
2.756,0.27,0.90,-0.15,5.39,0.20,0.40,0.31,-0.15,-1.92,973.59
2.759,0.27,0.90,-0.15,5.39,0.20,0.40,0.14,-0.52,-0.37,973.59
2.762,0.27,0.90,-0.15,5.39,0.20,0.40,0.14,-0.52,-0.37,973.60
2.763,0.27,0.90,-0.15,4.99,-0.69,-0.84,0.14,-0.52,-0.37,973.60
2.805,0.42,0.95,-0.27,4.99,-0.69,-0.84,0.14,-0.52,-0.37,973.60
2.807,0.42,0.95,-0.27,4.99,-0.69,-0.84,0.00,-1.02,1.36,973.60
2.809,0.42,0.95,-0.27,4.77,-0.45,-1.59,0.00,-1.02,1.36,973.60
2.875,-0.35,1.41,-0.56,4.77,-0.45,-1.59,0.00,-1.02,1.36,973.60
2.878,-0.35,1.41,-0.56,4.77,-0.45,-1.59,0.09,-1.77,1.99,973.60
2.881,-0.35,1.41,-0.56,-2.11,4.08,-5.28,0.09,-1.77,1.99,973.60
2.949,0.05,0.97,-0.35,-2.11,4.08,-5.28,0.09,-1.77,1.99,973.60
2.952,0.05,0.97,-0.35,-2.11,4.08,-5.28,0.01,-0.25,1.30,973.60
2.955,0.05,0.97,-0.35,-2.11,4.08,-5.28,0.01,-0.25,1.30,973.61
2.958,0.05,0.97,-0.35,0.18,-0.31,-3.04,0.01,-0.25,1.30,973.61
2.994,0.07,0.98,0.10,0.18,-0.31,-3.04,0.01,-0.25,1.30,973.61
2.997,0.07,0.98,0.10,0.18,-0.31,-3.04,0.13,0.11,0.85,973.61
